name,country,current weather,feels like,temp min,temp max,horario_extraido
London,GB,14.6,13.7,14.6,14.6,2025-03-27 13:04:25
Rio de Janeiro,BR,29.5,34.3,29.5,29.5,2025-03-27 13:12:37
Amsterdam,NL,15.3,14.4,15.3,15.3,2025-03-27 13:21:22
Alt-Kölln,DE,10.6,9.8,10.6,10.6,2025-03-27 13:23:09
New York,US,6.3,1.3,6.3,6.3,2025-03-27 13:23:58
Japan,JP,17.5,17.5,17.5,17.5,2025-03-27 13:29:52
Villa Crespo,AR,26.8,27.2,26.8,26.8,2025-03-27 13:32:38
Nonthaburi,TH,29.9,35.9,29.9,29.9,2025-03-27 13:33:06
Palais-Royal,FR,16.2,15.0,16.2,16.2,2025-03-27 13:34:03
Rome,IT,12.6,11.8,12.6,12.6,2025-03-27 13:34:17
Curitiba,BR,26.4,26.4,26.4,26.4,2025-03-27 13:34:59
Belo Horizonte,BR,25.4,25.8,25.4,25.4,2025-03-27 13:35:18
Guará,BR,25.3,25.6,25.3,25.3,2025-03-27 13:35:23
Al ‘Atabah,EG,31.7,29.5,31.7,31.7,2025-03-27 13:35:34
Karaköy,TR,18.1,17.2,18.1,18.1,2025-03-27 13:35:53
Pushcha-Vodytsya,UA,11.9,10.3,11.9,11.9,2025-03-27 13:36:07
Melbourne,AU,15.3,15.2,15.3,15.3,2025-03-27 13:36:25
Recife,BR,30.5,37.4,30.5,30.5,2025-03-27 13:36:57
San Diego,US,15.3,14.6,15.3,15.3,2025-03-27 13:37:05
San Antonio,US,18.4,18.8,18.4,18.4,2025-03-27 13:37:09
Al Khālidīyah,SA,24.5,23.5,24.5,24.5,2025-03-27 13:37:35
Abidjan,CI,29.8,34.6,29.8,29.8,2025-03-27 13:38:10
Ahmedabad,IN,28.4,27.0,28.4,28.4,2025-03-27 13:38:25
"Sant Pere, Santa Caterina i La Ribera",ES,14.9,14.1,14.9,14.9,2025-03-27 13:38:42
Manchester,GB,13.9,13.2,13.9,13.9,2025-03-27 13:38:52
Ferndale,US,11.7,11.0,11.7,11.7,2025-03-27 13:39:14
Distrito Capital,VE,33.4,35.3,33.4,33.4,2025-03-27 13:39:18
Inner City,DK,9.9,6.9,9.9,9.9,2025-03-27 13:39:42
Dakar,SN,19.9,20.0,19.9,19.9,2025-03-27 13:39:52
Seoul,KR,-2.2,-2.2,-2.2,-2.2,2025-03-28 16:26:12
Rímac,PE,27.3,28.2,27.3,27.3,2025-03-28 16:26:35
City of Victoria,HK,17.4,17.5,15.8,17.7,2025-03-28 16:27:58
Guadalajara,MX,26.9,25.8,26.9,26.9,2025-03-28 16:29:58
Yakuin-Horibata,JP,9.9,8.3,8.4,9.9,2025-03-28 16:39:10
